,Problem,Link
95,Aggressive Cows,https://www.spoj.com/problems/AGGRCOW/
96,Book Allocation Problem,https://bit.ly/3MZQOct
97,Split array - Largest Sum,https://leetcode.com/problems/split-array-largest-sum/
98,Painter's partition,https://www.codingninjas.com/studio/problems/painter-s-partition-problem_1089557?utm_source=striver&amp;utm_medium=website&amp;utm_campaign=a_zcoursetuf
99,Minimize Max Distance to Gas Station,https://leetcode.com/problems/minimize-max-distance-to-gas-station/
100,Median of 2 sorted arrays,https://leetcode.com/problems/median-of-two-sorted-arrays/
101,Kth element of 2 sorted arrays,https://bit.ly/3Amcomr
102,Find the row with maximum number of 1's,https://bit.ly/3QNDw2W
103,Search in a 2 D matrix,https://leetcode.com/problems/search-a-2d-matrix/
104,Search in a row and column wise sorted matrix,https://leetcode.com/problems/search-a-2d-matrix-ii/
105,Find Peak Element (2D Matrix),https://leetcode.com/problems/find-a-peak-element-ii/
106,Matrix Median,https://bit.ly/3PvwuPk
107,Remove outermost Paranthesissoon...,https://leetcode.com/problems/remove-outermost-parentheses/
108,Reverse words in a given string / Palindrome Check,https://leetcode.com/problems/reverse-words-in-a-string/
109,Largest odd number in a stringsoon...,https://leetcode.com/problems/largest-odd-number-in-string/
110,Longest Common Prefixsoon...,https://leetcode.com/problems/longest-common-prefix/
111,Isomorphic Stringsoon...,https://leetcode.com/problems/isomorphic-strings/
112,check whether one string is a rotation of anothersoon...,https://leetcode.com/problems/rotate-string/
113,Check if two strings are anagram of each other,"https://leetcode.com/problems/valid-anagram/#:~:text=Given%20two%20strings%20s%20and,the%20original%20letters%20exactly%20once.&amp;text=Constraints%3A,.length%20%3C%3D%205%20*%2010"
114,Sort Characters by frequencysoon...,https://leetcode.com/problems/sort-characters-by-frequency/
115,Maximum Nesting Depth of Paranthesissoon...,https://leetcode.com/problems/maximum-nesting-depth-of-the-parentheses/
116,Roman Number to Integer and vice versasoon...,https://leetcode.com/problems/roman-to-integer/
