,Problem,Link
352,Alien dictionary,https://leetcode.com/problems/alien-dictionary/solution/
353,Shortest Path in UG with unit weights,https://bit.ly/3UVQD4C
354,Shortest Path in DAG,https://bit.ly/3Eo1mhq
355,Djisktra's Algorithm,https://practice.geeksforgeeks.org/problems/implementing-dijkstra-set-1-adjacency-matrix/1
356,Why priority Queue is used in Djisktra's Algorithm,https://bit.ly/3Et6alk
357,Shortest path in a binary maze,https://leetcode.com/problems/shortest-path-in-binary-matrix/
358,Path with minimum effort,https://leetcode.com/problems/path-with-minimum-effort/
359,Cheapest flights within k stops,https://leetcode.com/problems/cheapest-flights-within-k-stops/
360,Network Delay timesoon...,https://leetcode.com/problems/network-delay-time/
361,Number of ways to arrive at destination,https://leetcode.com/problems/number-of-ways-to-arrive-at-destination/
362,Minimum steps to reach end from start by performing multiplication and mod operations with array elements,https://bit.ly/3QAEsrY
363,Bellman Ford Algorithm,https://practice.geeksforgeeks.org/problems/distance-from-the-source-bellman-ford-algorithm/1
364,Floyd Warshal Algorithm,https://practice.geeksforgeeks.org/problems/implementing-floyd-warshall2042/1
365,Find the city with the smallest number of neighbors in a threshold distance,https://leetcode.com/problems/find-the-city-with-the-smallest-number-of-neighbors-at-a-threshold-distance/
366,Minimum Spanning Tree,https://practice.geeksforgeeks.org/problems/minimum-spanning-tree/1
367,Prim's Algorithm,https://practice.geeksforgeeks.org/problems/minimum-spanning-tree/1
368,Disjoint Set [Union by Rank],https://bit.ly/3QSGvHz
369,Disjoint Set [Union by Size],https://bit.ly/3QSGvHz
370,Kruskal's Algorithm,https://practice.geeksforgeeks.org/problems/minimum-spanning-tree/1
371,Number of operations to make network connected,https://leetcode.com/problems/number-of-operations-to-make-network-connected/
372,Most stones removed with same rows or columns,https://leetcode.com/problems/most-stones-removed-with-same-row-or-column/
373,Accounts merge,https://leetcode.com/problems/accounts-merge/
374,Number of island II,https://leetcode.com/problems/number-of-islands-ii/
375,Making a Large Island,https://leetcode.com/problems/making-a-large-island/
376,Swim in rising watersoon...,https://leetcode.com/problems/swim-in-rising-water/
377,Bridges in Graph,https://leetcode.com/problems/critical-connections-in-a-network/discuss/382385/find-bridges-in-a-graph
378,Articulation Point,https://bit.ly/3T2LPKu
379,Kosaraju's Algorithm,https://bit.ly/3TbvByL
380,Dynamic Programming Introduction,https://bit.ly/3UWkWrS
381,Climbing Stars,https://leetcode.com/problems/climbing-stairs/
382,Frog Jump(DP-3),https://bit.ly/3Xn0Kkw
383,Frog Jump with k distances(DP-4),https://bit.ly/3GyNRya
384,Maximum sum of non-adjacent elements (DP 5),https://leetcode.com/problems/house-robber/
385,House Robber (DP 6),https://leetcode.com/problems/house-robber-ii/
386,Ninja's Training (DP 7),https://bit.ly/3glc9kp
387,Grid Unique Paths : DP on Grids (DP8),https://leetcode.com/problems/unique-paths/
388,Grid Unique Paths 2 (DP 9),https://leetcode.com/problems/unique-paths-ii/
389,Minimum path sum in Grid (DP 10),https://leetcode.com/problems/minimum-path-sum/
390,Minimum path sum in Triangular Grid (DP 11),https://leetcode.com/problems/triangle/
391,Minimum/Maximum Falling Path Sum (DP-12),https://leetcode.com/problems/minimum-falling-path-sum/
392,3-d DP : Ninja and his friends (DP-13),https://bit.ly/3U9k6XT
393,Subset sum equal to target (DP- 14),https://practice.geeksforgeeks.org/problems/subset-sum-problem-1611555638/1
394,Partition Equal Subset Sum (DP- 15),https://leetcode.com/problems/partition-equal-subset-sum/
395,Partition Set Into 2 Subsets With Min Absolute Sum Diff (DP- 16),https://leetcode.com/problems/partition-array-into-two-arrays-to-minimize-sum-difference/
396,Count Subsets with Sum K (DP - 17),https://bit.ly/3AwVr8I
397,Count Partitions with Given Difference (DP - 18),https://bit.ly/3gkAM0s
398,0/1 Knapsack (DP - 19),https://practice.geeksforgeeks.org/problems/0-1-knapsack-problem0945/1
399,Minimum Coins (DP - 20),https://leetcode.com/problems/coin-change/
400,Target Sum (DP - 21),https://leetcode.com/problems/target-sum/
401,Coin Change 2 (DP - 22),https://leetcode.com/problems/coin-change-2/
402,Unbounded Knapsack (DP - 23),https://bit.ly/3Cbc5fz
403,Rod Cutting Problem | (DP - 24),https://practice.geeksforgeeks.org/problems/rod-cutting0840/1
404,Longest Common Subsequence | (DP - 25),https://leetcode.com/problems/longest-common-subsequence/
405,Print Longest Common Subsequence | (DP - 26),https://bit.ly/3T1Va4U
406,Longest Common Substring | (DP - 27),https://practice.geeksforgeeks.org/problems/longest-common-substring1452/1
407,Longest Palindromic Subsequence | (DP-28),https://leetcode.com/problems/longest-palindromic-subsequence/
408,Minimum insertions to make string palindrome | DP-29,https://leetcode.com/problems/minimum-insertion-steps-to-make-a-string-palindrome/
409,Minimum Insertions/Deletions to Convert String | (DP- 30),https://leetcode.com/problems/delete-operation-for-two-strings/
410,Shortest Common Supersequence | (DP - 31),https://leetcode.com/problems/shortest-common-supersequence/
411,Distinct Subsequences| (DP-32),https://leetcode.com/problems/distinct-subsequences/
412,Edit Distance | (DP-33),https://leetcode.com/problems/edit-distance/
413,Wildcard Matching | (DP-34),https://leetcode.com/problems/wildcard-matching/
414,Best Time to Buy and Sell Stock |(DP-35),https://leetcode.com/problems/best-time-to-buy-and-sell-stock/
415,Buy and Sell Stock - II|(DP-36),https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii/
416,Buy and Sell Stocks III|(DP-37),https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iii/description/
417,Buy and Stock Sell IV |(DP-38),https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iv/
418,Buy and Sell Stocks With Cooldown|(DP-39),https://leetcode.com/problems/best-time-to-buy-and-sell-stock-with-cooldown/
419,Buy and Sell Stocks With Transaction Fee|(DP-40),https://leetcode.com/problems/best-time-to-buy-and-sell-stock-with-transaction-fee/
420,Longest Increasing Subsequence |(DP-41),https://leetcode.com/problems/longest-increasing-subsequence/
421,Printing Longest Increasing Subsequence|(DP-42),https://bit.ly/3XiRbmG
422,Longest Increasing Subsequence |(DP-43),https://bit.ly/3Pxf84L
423,Largest Divisible Subset|(DP-44),https://leetcode.com/problems/largest-divisible-subset/
424,Longest String Chain|(DP-45),https://leetcode.com/problems/longest-string-chain/
425,Longest Bitonic Subsequence |(DP-46),https://practice.geeksforgeeks.org/problems/longest-bitonic-subsequence0824/1
426,Number of Longest Increasing Subsequences|(DP-47),https://leetcode.com/problems/number-of-longest-increasing-subsequence/
427,Matrix Chain Multiplication|(DP-48),https://bit.ly/3Cgg36D
428,Matrix Chain Multiplication | Bottom-Up|(DP-49),https://bit.ly/3Cgg36D
429,Minimum Cost to Cut the Stick|(DP-50),https://leetcode.com/problems/minimum-cost-to-cut-a-stick/
430,Burst Balloons|(DP-51),https://leetcode.com/problems/burst-balloons/
431,Evaluate Boolean Expression to True|(DP-52),https://leetcode.com/problems/parsing-a-boolean-expression/
432,Palindrome Partitioning - II|(DP-53),https://leetcode.com/problems/palindrome-partitioning-ii/
433,Partition Array for Maximum Sum|(DP-54),https://leetcode.com/problems/partition-array-for-maximum-sum/
434,Maximum Rectangle Area with all 1's|(DP-55),https://leetcode.com/problems/maximal-rectangle/
435,Count Square Submatrices with All Ones|(DP-56),https://leetcode.com/problems/count-square-submatrices-with-all-ones/
436,Implement TRIE | INSERT | SEARCH | STARTSWITH,https://leetcode.com/problems/implement-trie-prefix-tree/
437,Implement Trie - 2 (Prefix Tree),https://bit.ly/3qwT4OL
438,Longest String with All Prefixes,https://bit.ly/3n3kedU
439,Number of Distinct Substrings in a String,https://bit.ly/3ocRQW0
440,Bit PreRequisites for TRIE Problems,https://bit.ly/3Vw4XB1
441,Maximum XOR of two numbers in an array,https://leetcode.com/problems/maximum-xor-of-two-numbers-in-an-array/
442,Maximum XOR With an Element From Array,https://leetcode.com/problems/maximum-xor-with-an-element-from-array/
443,Minimum number of bracket reversals needed to make an expression balancedsoon...,https://leetcode.com/problems/minimum-add-to-make-parentheses-valid/
444,Count and saysoon...,https://leetcode.com/problems/count-and-say/
445,Hashing In Strings | Theorysoon...,https://bit.ly/3glak75
446,Rabin Karpsoon...,https://leetcode.com/problems/repeated-string-match/discuss/416144/Rabin-Karp-algorithm-C%2B%2B-implementation
447,Z-Functionsoon...,https://leetcode.com/problems/implement-strstr/
448,KMP algo / LPS(pi) arraysoon...,https://leetcode.com/problems/implement-strstr/
449,Shortest Palindromesoon...,https://leetcode.com/problems/shortest-palindrome/
450,Longest happy prefixsoon...,https://leetcode.com/problems/longest-happy-prefix/
451,Count palindromic subsequence in given stringsoon...,"https://practice.geeksforgeeks.org/problems/count-palindromic-subsequences/1#:~:text=Given%20a%20string%20str%20of,formed%20from%20the%20string%20str.&amp;text=Your%20Task%3A,read%20input%20or%20print%20anything."
